id,category/id,category/name/ca,scope/id,scope/name/ca,participatory_space/id,participatory_space/url,component/id,title,body,state,reference,answer/ca,supports,endorsements/total_count,endorsements/user_endorsements,comments,attachments,followers,published_at,url,meeting_urls,related_proposals,is_amend,original_proposal/title,original_proposal/url
1263,422.0,Millorar els equipaments del barri,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Recollida voluminosos,"<p>Jo voldria proposar reimplantar un altre vegada la recollida a domicili d’objectes voluminosos de rebuig.</p><p>És molt difícil transportar objetes pesats fins als contenidors quan aquests poden estar a 100 o 200 metres de casa, i si a més són persones grans això es fa impossible.</p><p>Es podria establir un dia a la setmana, con ara, i sol-licitar el servei per telèfon.</p>",rejected,SCG-PROP-2020-06-1263,"<p><strong>Rebutjada</strong></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;<a href=""https://decidim.santcugat.cat/processes/mira-sol/steps"" target=""_blank"">requisits tècnics </a>&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>- 11. No representar una actuació que precisa de continuïtat en el temps més enllà del pressupost assignat.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes<strong>.</strong>&nbsp;Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent&nbsp;<a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p>",0,0,,0,0,7,2020-06-07 07:58:11 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1263,,,False,,
1678,422.0,Millorar els equipaments del barri,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Colocación barrera sonora aislante del ruido de la  B-30,"<p>Desde hace más de 20 años estamos intentando obtener solución al impacto sonoro proveniente del lateral y carriles centrales de la B30. </p><p>Se han realizado diferentes estudios de impacto sonoro por agencias oficiales llegando a niveles a ciertas horas del día de 80 Db. En su momento tanto el Ayuntamiento de Sant Cugat como la Diputación estuvieron de acuerdo en solventar el problema. Tanto es así, que ya se imprimieron unos dípticos con los dibujos de los taludes de obra y vegetales  a instalar en el firme de la autopista. Desafortunadamente y sin motivo alguno, la obra ya presupuestada,no se llevó a cabo.</p><p><br></p>",rejected,SCG-PROP-2020-06-1678,"<p><strong>Rebutjada</strong></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;<a href=""https://decidim.santcugat.cat/processes/mira-sol/steps"" target=""_blank"">requisits tècnics </a>&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>- Ser de competència municipal.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes<strong>.</strong>&nbsp;Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent&nbsp;<a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p>",0,0,,0,0,7,2020-06-21 18:46:59 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1678,,,False,,
1103,424.0,Impulsar projectes per a la gent gran,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Reducció del IBI a Mirasol,"<p>400.000€ / 15.000 Habitants = 26,6€/per</p><p>A causa de la propera gran crisi econòmica que s'acosta (Jo ja estic a l'atur) proposo la reducció del IBI a Mirasol a 25 € / pers a l'any</p>",rejected,SCG-PROP-2020-05-1103,"<p><strong>Rebutjada</strong></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;<a href=""https://decidim.santcugat.cat/processes/mira-sol/steps"" target=""_blank"">requisits tècnics </a>&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>- No contradir els plans aprovats</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes<strong>.</strong>&nbsp;Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent&nbsp;<a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p>",0,0,,0,0,14,2020-05-27 05:55:07 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1103,,,False,,
1243,422.0,Millorar els equipaments del barri,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Ressalts davant Centre Infantil Els Qguis,"<p>Visc al Carrer del Plà i sóc propietaria del Centre Infantil Els Qguis, veïns, famílies del centre i professores demanem que es posin ressalts o badens que ajudin a reduir la velocitat dels cotxes que passen. No estaria malament un cartell informatiu en el que es mostra infants creuant pel pas de vianants.</p><p>Moltes gràcies</p>",rejected,SCG-PROP-2020-06-1243,"<p><strong>Rebutjada</strong></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;<a href=""https://decidim.santcugat.cat/processes/mira-sol/steps"" target=""_blank"">requisits tècnics </a>&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>- 4. Ser realitzables tècnicament.   Les pacificacions de carrers i reductors de velocitat es treballen des d'una visió global del municipi. Es tindrà en compte la proposta per estudiar la seva viabilitat i utilitat.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes<strong>.</strong>&nbsp;Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent&nbsp;<a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p>",0,0,,0,0,7,2020-06-05 07:02:13 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1243,,,False,,
1858,432.0,"Apostar per la mobilitat accessible, sostenible i inclusiva",,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,"Pacificació del trànsit en general, a Josep Irla, a C. Sant Cugat al Papiol","<p>Proposta del Programa de Barri de Mira-sol</p><p>Pacificació del trànsit en general, a Josep Irla, a C. Sant Cugat al Papiol</p>",rejected,SCG-PROP-2020-06-1858,"<p><strong>Rebutjada</strong></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;<a href=""https://decidim.santcugat.cat/processes/mira-sol/steps"" target=""_blank"">requisits tècnics </a>&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>-Ser realitzable tècnicaments.  Les pacificacions de carrers i reductors de velocitat es treballen des d'una visió global del municipi. Es tindrà en compte la proposta per estudiar la seva viabilitat i utilitat.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes<strong>.</strong>&nbsp;Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent&nbsp;<a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p>",0,0,,0,0,7,2020-06-23 08:43:26 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1858,,,False,,
1401,422.0,Millorar els equipaments del barri,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,"Instalación de carteles informativos en la Plaza Doctor Pila, para preservar  el descanso de los vecinos","<p><strong>Instalación de carteles grandes en la Plaza Doctor Pila, donde se pida respetar el descanso de los vecinos en esta plaza a partir de las 22.30.</strong></p><p><strong>El gran nivel de ruido que se genera debido a la actividad de las terrazas de los bares,  es sufrido desde hace años por parte de los vecinos que nuestras viviendas dan a esta plaza. Actualmente solo hay un pequeño cartel que se instaló  hace 15 años, está descolorido y colgado en una farola a 7 metros de altura y nadie lo ve. </strong></p>",rejected,SCG-PROP-2020-06-1401,"<p><strong>Rebutjada</strong></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;<a href=""https://decidim.santcugat.cat/processes/mira-sol/steps"" target=""_blank"">requisits tècnics </a>&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>- Tenir visió de barri. Cal tenir en compte  que les terrasses ja tenen horari reduit i han de tancar a les 23h.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes<strong>.</strong>&nbsp;Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent&nbsp;<a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p>",0,0,,0,0,7,2020-06-15 07:42:12 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1401,,,False,,
1206,434.0,Reforçar la convivència i la seguretat al barri,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Badén en Pompeu Fabra,"<p>Creo necesaria la instalación de badenes o medidas disuasorias en la calle Pompeu Fabra, especialmente en la intersección con la calle Saragossa, ya que la mayoría de vehículos no respetan el stop existente.</p>",rejected,SCG-PROP-2020-06-1206,"<p><strong>Rebutjada</strong></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;<a href=""https://decidim.santcugat.cat/processes/mira-sol/steps"" target=""_blank"">requisits tècnics </a>&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>- 4. Ser realitzables tècnicament. Les pacificacions i peatonalitzacions de carrers es treballen des d'una visió global del municipi. Es tindrà en compte la proposta per estudiar la seva viabilitat i utilitat.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes<strong>.</strong>&nbsp;Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent&nbsp;<a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p>",0,0,,0,0,10,2020-06-03 05:26:33 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1206,,,False,,
1091,422.0,Millorar els equipaments del barri,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Plantació d'arbres a l'av. Carril (per tenir-hi ombra),"<p>Especialment a l'estiu, és molt desagradable caminar en tot l'espai que hi ha a l'av. Carril des que se surt de l'estació fins que s'arriba a la zona on sí que hi ha arbres. Pel que proposo que en tot aquest espai (en la banda de l'Av. Carril tocant a la via del tren) es plantin arbres amb l'objectiu que a llarg termini proporcionin ombra. </p>",rejected,SCG-PROP-2020-05-1091,"<p><strong>Rebutjada</strong></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;<a href=""https://decidim.santcugat.cat/processes/mira-sol/steps"" target=""_blank"">requisits tècnics </a>&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>- 4. Ser realitzables tècnicament.&nbsp;No hi ha espai suficient en aquest carrer.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes<strong>.</strong>&nbsp;Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent&nbsp;<a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p>",0,0,,0,1,8,2020-05-26 17:18:55 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1091,,,False,,
1315,422.0,Millorar els equipaments del barri,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Alineació del pas de vianants amb el desnivell per carretons i cadires de rodes a Rovira i Virgili,"<p>Al carrer Rovira i Virgili cantonada amb Comas i Solà hi ha un pas de vianants que té el desnivell per carrets i cadires de rodes a 3 metres, en una zona on poden aparcar els vehicles i sempre hi ha cotxes aparcats. Sembla clarament un error en el moment de la senyalització que encara no s'ha corregit.</p><p>És una zona amb moltes families i necessitem que hi hagi el desnivell per poder creuar sense dificultats amb els carrets o amb cadira de rodes.</p><p>Fa anys que existeix aquesta incidència evident i la solució no és costosa.</p><p>Gràcies</p>",rejected,SCG-PROP-2020-06-1315,"<p><strong>Rebutjada</strong></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;<a href=""https://decidim.santcugat.cat/processes/mira-sol/steps"" target=""_blank"">requisits tècnics </a>&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>- 4. Ser realitzables tècnicament.&nbsp;Les pacificacions, peatonalitzacions i sentits de circulació de carrers es treballen des d'una visió global del municipi. Es tindrà en compte la proposta per estudiar la seva viabilitat i utilitat.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes<strong>.</strong>&nbsp;Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent&nbsp;<a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p>",0,0,,0,0,9,2020-06-10 07:38:06 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1315,,,False,,
1318,422.0,Millorar els equipaments del barri,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Traslladar Zona de Socialització de Gossos de Mira-Sol ,"<p>Actualment la zona de socialització de gossos a mig camí entre espai del tren i del col.legi Catalunya no satisfà a ningú: els veïns han d'aguantar molèsties i soroll tot el dia, i els propietaris dels gossos la troben petita per fer correr els gossos. Per això proposo canviar-la de lloc i moure-la algun espai que no molesti a ningú i sigui més gran, amb un espai semblant a Can Mates o al Parc de la Pollancreda. Que jo sapiga hi han tres opcions aprop: l'espai darrera del Col.legi Catalunya on hi ha un espai verge i que està lluny dels habitatges, al mig del Parc del Tren que està més allunyat dels habitatges, i hi han dos espais buits que ara s'ocupen com a parking davant de La Farga (pero desconegut si són publics o privats). Gracies per col.laborar-hi i donar la vostra opinió.  </p>",rejected,SCG-PROP-2020-06-1318,"<p>Rebutjada</p><p>Malauradament, la teva proposta als Pressupostos Participatius no ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;requisits tècnics&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>- Les propostes que ja tinguin alguna partida pressupostària o estiguin previstes per part del serveis municipals.</p><p>El projecte ja s'està treballant i mantenint el diàleg amb el veïnat i persones usuàries.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes. Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent enllaç</p><p><br></p>",0,0,,0,1,7,2020-06-10 12:24:09 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1318,,,False,,
1731,434.0,Reforçar la convivència i la seguretat al barri,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Carteles “respecteu la pau del barri I el descans del veins”,"<p>La plz Dr Pila es una plaza “dura” encajonada entre edificios y una pared , construida de tal forma que amplifica los sonidos de forma espectacular. Ni aun queriendo, lo habrían hecho tan bien.</p><p>Los clientes no pueden imaginar esta situación.</p><p>Se podrían instalar carteles informativos al lado de las puertas de los cuatro bares que hay en la plaza, pidiendo que la gente respete el silencio, que no hablen fuerte o cualquier mensaje apropiado para evitar esta grave contaminación acústica producida por conversaciones y griterío de las 200 que se pueden acumular en las terrazas.  </p><p>Por supuesto, hay que realizar otras actuaciones en esa plaza para mitigar las molestias de semejante concentración de locales de restauración. </p><p>La cartelera is apelando al civismo de la gente es una de ellas .</p><p><br></p><p><br></p><p><br></p>",rejected,SCG-PROP-2020-06-1731,"<p><strong>Rebutjada</strong></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;<a href=""https://decidim.santcugat.cat/processes/mira-sol/steps"" target=""_blank"">requisits tècnics </a>&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>- Tenir visió de barri. Cal tenir en compte que les terrasses tenen horari reduit i han de tancar a les 23h.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes<strong>.</strong>&nbsp;Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent&nbsp;<a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p>",0,0,,0,0,7,2020-06-21 22:14:12 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1731,,,False,,
1834,423.0,Fomentar la diversitat d’activitats per als diferents col·lectius,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Activitats familiars i per totes les edats,<p>Proposta del Programa de Barri de Mira-sol</p><p>Activitats familiars i per totes les edats</p>,accepted,SCG-PROP-2020-06-1834,"<p><strong>Acceptada</strong> </p><p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada. Et convidem a la sessió de debat de les propostes de Mira-sol, on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. Et pots inscriure a la sessió en el següent enllaç: </p><p><a href=""https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268"" target=""_blank"">https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268</a></p><p>T’hi esperem!</p><p><br></p><p><br></p><p><br></p><p><br></p>",0,0,,0,0,7,2020-06-23 07:45:45 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1834,,,False,,
1828,422.0,Millorar els equipaments del barri,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,"Espais per trobades i reunions per adolescents i joves a Mira-sol, Can Mates, o Can Cabassa","<p>Proposta del Programa de Barri de Mira-sol</p><p>Espais per trobades i reunions per adolescents i joves a Mira-sol, Can Mates, o Can Cabassa</p>",accepted,SCG-PROP-2020-06-1828,"<p><strong>Acceptada (parcialment vàlida)</strong></p><p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada, però caldrà tenir en compte que no pot ser cessió d'un espai fixe. Es podria fer una campanya per explicar que poden utilitzar els espais polivalents.</p><p>Et convidem a la sessió de debat de les propostes de Mira-sol, on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. Et pots inscriure a la sessió en el següent enllaç:&nbsp;</p><p><a href=""https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268"" target=""_blank"">https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268</a></p><p>T’hi esperem!</p><p><br></p>",0,0,,0,0,7,2020-06-23 07:32:55 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1828,,,False,,
1582,428.0,"Generar espais públics de convivència i joc, inclusius, nets i segurs",,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Ampliació instal.lacions lúdico/esportives a Más Gener ,"<p><strong>Introducció</strong>: Degut a l'aument considerable de gent en general de totes les edats que practiquen algún tipus d'esport i con a punt de trobada/reunió i esbarjo d'amics i families per fer excursiones a peu/bicicleta. Zona<strong style=""font-size: inherit;"">: </strong><span style=""font-size: inherit; color: rgb(61, 57, 60);"">Terrenys adyacents a la pista esportiva i parc infantil de Más Gener al costat/marge dret de la riera C/ Gabriel Ferrater.  </span><strong style=""color: rgb(61, 57, 60);"">Proposta: </strong><span style=""color: rgb(61, 57, 60);"">Noves zona d'aparells de gimnástica, zona esbarjo amb mes diversitat i quantitat de gronxadors i aparells per els mes petits, mes taules/bancs, zona específica per gossos,  pista cimentada per a la práctica d'altres esports minoritaris com a patinatge, pista de frontón, zona trail per bicis, tirolina, altre taula de pinpom, etc.</span></p>",accepted,SCG-PROP-2020-06-1582,"<p><strong>Acceptada</strong> </p><p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada. S'ha rebut alguna altra proposta similar o idèntica a la teva i, per tant, es farà proposta de fusionar-les.Et convidem a la sessió de debat de les propostes de Mira-sol, on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. Et pots inscriure a la sessió en el següent enllaç: </p><p><a href=""https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268"" target=""_blank"">https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268</a></p><p><br></p><p>T’hi esperem!</p>",0,0,,0,0,8,2020-06-20 09:42:23 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1582,,,False,,
1857,426.0,Potenciar la igualtat de gènere i les accions amb perspectiva de gènere,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Botó d'ajuda a les parades de l'autobús per augmentar la seguretat de les dones,<p>Proposta del Programa de Barri de Mira-sol</p><p>Botó d'ajuda a les parades de l'autobús per augmentar la seguretat de les dones</p>,accepted,SCG-PROP-2020-06-1857,"<p><strong>Acceptada</strong> </p><p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada. Et convidem a la sessió de debat de les propostes de Mira-sol, on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. Et pots inscriure a la sessió en el següent enllaç: </p><p><a href=""https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268"" target=""_blank"">https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268</a></p><p>T’hi esperem!</p>",0,0,,0,0,7,2020-06-23 08:36:49 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1857,,,False,,
1838,426.0,Potenciar la igualtat de gènere i les accions amb perspectiva de gènere,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Fer accions per desfer estereotips de gènere,<p>Proposta del Programa de Barri de Mira-sol</p><p>Fer accions per desfer estereotips de gènere</p>,accepted,SCG-PROP-2020-06-1838,"<p><strong>Acceptada (parcialment vàlida)</strong></p><p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada, però caldrà tenir en compte que és una proposta poc concreta que caldria definir i acotar<strong>.</strong></p><p>Et convidem a la sessió de debat de les propostes de Mira-sol, on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. Et pots inscriure a la sessió en el següent enllaç:</p><p><a href=""https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268"" target=""_blank"">https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268</a></p><p>T’hi esperem!</p>",0,0,,0,0,7,2020-06-23 08:06:10 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1838,,,False,,
1841,428.0,"Generar espais públics de convivència i joc, inclusius, nets i segurs",,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Creació d’un parc per a patinets i bicicletes,<p>Proposta del Programa de Barri de Mira-sol</p><p>Creació d’un parc per a patinets i bicicletes</p>,accepted,SCG-PROP-2020-06-1841,"<p><strong>Acceptada</strong> </p><p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada. Et convidem a la sessió de debat de les propostes de Mira-sol, on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. Et pots inscriure a la sessió en el següent enllaç: </p><p><a href=""https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268"" target=""_blank"">https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268</a></p><p>T’hi esperem!</p>",0,0,,0,0,7,2020-06-23 08:13:14 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1841,,,False,,
1836,425.0,Incentivar projectes i activitats al barri i suport al teixit associatiu,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Promoció i suport a les associacions de veïns i entitats,<p>Proposta del Programa de Barri de Mira-sol</p><p>Promoció i suport a les associacions de veïns i entitats</p>,accepted,SCG-PROP-2020-06-1836,"<p><strong>Acceptada (parcialment vàlida)</strong></p><p>Enhorabona! La teva proposta als Pressupostos Participatius ha estat acceptada, però caldrà tenir en compte que és una proposta poc concreta que caldrà definir i acotar<strong>.</strong></p><p>Et convidem a la sessió de debat de les propostes de Mira-sol on podràs explicar la teva proposta i es concretarà la llista final de les que es porten a votació ciutadana. Et pots inscriure a la sessió en el següent enllaç: <a href=""https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268"" target=""_blank"">https://decidim.santcugat.cat/processes/mira-sol/f/397/meetings/268</a></p><p>T’hi esperem!</p>",0,0,,0,0,7,2020-06-23 08:01:08 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1836,,,False,,
1059,422.0,Millorar els equipaments del barri,,,144,https://decidim.santcugat.cat/processes/mira-sol?participatory_process_slug=mira-sol,382,Acondicionament i millora del sistema d’aire  condicionat del teatre del casal de Mira-sol,"<p>Acondicionament i millora del sistema d’aire condicionat del teatre del casal de Mira-sol.</p><p>Degut a que el sistema d’aire condicionat del teatre de Mira-sol es molt sorollos i poc funcional (quan ha d’escalfar, o refredar l’espai, no ho fa de forma eficient i clinàticament agradable pels usuaris del teatre), proposo adecuar el sistema d’aire condicionat perque sigui eficient i ecológicament sostenible (fer servir una sol·lució el més ecològica posible).</p>",rejected,SCG-PROP-2020-05-1059,"<p><strong>Rebutjada</strong></p><p>Malauradament, la teva proposta als Pressupostos Participatius no&nbsp;ha superat la validació tècnica perquè no compleix amb alguns dels&nbsp;<a href=""https://decidim.santcugat.cat/processes/mira-sol/steps"" target=""_blank"">requisits tècnics </a>&nbsp;de les propostes, i ha estat exclosa pel següent motiu:</p><p>- Les propostes que ja tinguin alguna partida pressupostària o estiguin previstes per part del serveis municipals. </p><p>L'actuació ja està prevista pel Servei de Manteniment d'Edificis amb pressupost de 2020.</p><p>Però no acabem aquí! Et convidem a seguir treballant pel barri des del Consell de Barri, on fem el seguiment de les propostes i els projectes del barri. És l’espai on podrem reflexionar sobre qüestions relacionades amb la proposta que has fet i altres temes<strong>.</strong>&nbsp;Si vols rebre tota la informació relativa a les sessions del Consell, et pots inscriure en el següent&nbsp;<a href=""https://showlanding.com/page/18ea1fc0-3c45-11ea-8449-005056bd5094/"" target=""_blank"">enllaç</a></p>",0,0,,0,0,8,2020-05-23 13:20:15 UTC,https://decidim.santcugat.cat/processes/mira-sol/f/382/proposals/1059,,,False,,
